Word,Furigana,Romaji,JLPT,Hinshi,Indonesia Meaning
政党,せいとう,seitou,JLPT N2,Noun,partai politik
生存,せいぞん,seizon,JLPT N2,Noun,eksistensi; keberadaan
赤道,せきどう,sekidou,JLPT N2,Noun,khatulistiwa
折角,せっかく,sekkaku,JLPT N2,Adverb,dengan kesulitan; dengan susah payah
接近,せっきん,sekkin,JLPT N2,Noun,semakin dekat; mendekat
セメント,セメント,semento,JLPT N2,Noun,"semen  セメント: gai1, ichi1."
攻め手,せめて,semete,JLPT N2,Noun,pelanggaran; tindak pidana
栓,せん,sen,JLPT N2,Noun,sumbat; gabus
センチ,センチ,senchi,JLPT N2,Noun,sentimeter
宣伝,せんでん,senden,JLPT N2,Noun,publisitas; iklan
扇風機,せんぷうき,senpuuki,JLPT N2,Noun,kipas angin listrik
線路,せんろ,senro,JLPT N2,Noun,jalur kereta api; rel kereta api
専制,せんせい,sensei,JLPT N2,Noun,despotisme; otokrasi
先々月,せんせんげつ,sensengetsu,JLPT N2,Temporal noun,bulan sebelum bulan lalu
先先週,せんせんしゅう,sensenshuu,JLPT N2,Temporal noun,minggu sebelum minggu lalu
扇子,せんす,sensu,JLPT N2,Noun,kipas lipat
先頭,せんとう,sentou,JLPT N2,Noun,kepala; pemimpin
洗剤,せんざい,senzai,JLPT N2,Noun,deterjen; bahan pencuci
先祖,せんぞ,senzo,JLPT N2,Noun,leluhur
せっせと,せっせと,sesseto,JLPT N2,Adverb,dengan tekun; dengan rajin
瀬戸物,せともの,setomono,JLPT N2,Noun,tembikar; porselen
接続,せつぞく,setsuzoku,JLPT N2,Noun,koneksi; keterikatan
社会科学,しゃかいかがく,shakaikagaku,JLPT N2,Noun,ilmu sosial
吃逆,しゃっくり,shakkuri,JLPT N2,Noun,cegukan
車庫,しゃこ,shako,JLPT N2,Noun,garasi; tempat parkir mobil
洒落,しゃれ,share,JLPT N2,Na-adjective,lelucon; permainan kata
車輪,しゃりん,sharin,JLPT N2,Noun,roda (mobil)
写生,しゃせい,shasei,JLPT N2,Noun,membuat sketsa; menggambar dari alam
社説,しゃせつ,shasetsu,JLPT N2,Noun,editorial; artikel utama
車掌,しゃしょう,shashou,JLPT N2,Noun,konduktor (kereta api)
シャッター,シャッター,shatta-,JLPT N2,Noun,rana kamera
シーツ,シーツ,shi-tsu,JLPT N2,Noun,seprai; sprei
シーズン,シーズン,shi-zun,JLPT N2,Noun,"musim (buah-buahan dan sayuran, olah raga, liburan)  シーズン: gai1, ichi1."
明々後日,しあさって,shiasatte,JLPT N2,Adverbial noun,tiga hari lagi; dua hari setelah besok
紙幣,しへい,shihei,JLPT N2,Noun,uang kertas; uang kertas
始終,しじゅう,shijuu,JLPT N2,Adverb,terus menerus; dari awal hingga akhir
司会,しかい,shikai,JLPT N2,Noun,memimpin rapat; memimpin rapat
四角,しかく,shikaku,JLPT N2,Na-adjective,persegi
四角い,しかくい,shikakui,JLPT N2,I-adjective,persegi; persegi panjang
四季,しき,shiki,JLPT N2,Noun,empat musim
敷地,しきち,shikichi,JLPT N2,Noun,lokasi; lahan
湿気,しっけ,shikke,JLPT N2,Noun,kelembapan; kelembaban
至急,しきゅう,shikyuu,JLPT N2,Adverb,mendesak; penting
縞,しま,shima,JLPT N2,Noun,garis; palang
氏名,しめい,shimei,JLPT N2,Noun,nama lengkap; identitas
締め切り,しめきり,shimekiri,JLPT N2,Noun,batas waktu; penutupan
沁み沁み,しみじみ,shimijimi,JLPT N2,Adverb,dengan sungguh-sungguh; dengan antusias
芯,しん,shin,JLPT N2,Noun,sumbu; sumsum
診断,しんだん,shindan,JLPT N2,Noun,diagnosis; pemeriksaan medis
新幹線,しんかんせん,shinkansen,JLPT N2,Noun,Shinkansen; kereta cepat
真空,しんくう,shinkuu,JLPT N2,Na-adjective,vakum; berongga
侵入,しんにゅう,shinnyuu,JLPT N2,Noun,invasi; serangan mendadak
森林,しんりん,shinrin,JLPT N2,Noun,hutan; pepohonan
針路,しんろ,shinro,JLPT N2,Noun,haluan; arah
親類,しんるい,shinrui,JLPT N2,Noun,hubungan; kerabat
心身,しんしん,shinshin,JLPT N2,Noun,pikiran dan tubuh
神話,しんわ,shinwa,JLPT N2,Noun,mitos; legenda
深夜,しんや,shinya,JLPT N2,Adverbial noun,larut malam
信ずる,しんずる,shinzuru,JLPT N2,Expression,untuk percaya; untuk mempercayai
執筆,しっぴつ,shippitsu,JLPT N2,Noun,menulis (misalnya sebagai profesi)
尻尾,しっぽ,shippo,JLPT N2,Noun,ekor (hewan)
白髪,しらが,shiraga,JLPT N2,Noun,rambut putih; rambut abu-abu
シリーズ,シリーズ,shiri-zu,JLPT N2,Noun,seri
知り合い,しりあい,shiriai,JLPT N2,Noun,kenalan
私立,しりつ,shiritsu,JLPT N2,Noun,(lembaga) swasta
汁,しる,shiru,JLPT N2,Noun,sari buah; getah
姿勢,しせい,shisei,JLPT N2,Noun,sikap; postur
四捨五入,ししゃごにゅう,shishagonyuu,JLPT N2,Noun,pembulatan (pecahan); pembulatan setengah ke atas
子孫,しそん,shison,JLPT N2,Noun,keturunan; generasi penerus
死体,したい,shitai,JLPT N2,Noun,mayat; jenazah
下町,したまち,shitamachi,JLPT N2,Noun,"bagian kota yang dataran rendah (biasanya berisi toko, pabrik, dll.)"
私鉄,してつ,shitetsu,JLPT N2,Noun,kereta api swasta
湿度,しつど,shitsudo,JLPT N2,Noun,tingkat kelembapan
しつこい,しつこい,shitsukoi,JLPT N2,I-adjective,bersikeras; keras kepala
失恋,しつれん,shitsuren,JLPT N2,Noun,Cinta yang mengecewakan; patah hati
仕様が無い,しようがない,shiyouganai,JLPT N2,Expression,Tidak bisa dihindari; itu tak terelakkan
自然科学,しぜんかがく,shizenkagaku,JLPT N2,Noun,ilmu alam
書道,しょどう,shodou,JLPT N2,Noun,kaligrafi
初旬,しょじゅん,shojun,JLPT N2,Adverbial noun,10 hari pertama bulan ini
食器,しょっき,shokki,JLPT N2,Noun,peralatan makan
食塩,しょくえん,shokuen,JLPT N2,Noun,garam meja
職人,しょくにん,shokunin,JLPT N2,Noun,pekerja; mekanik
初級,しょきゅう,shokyuu,JLPT N2,Noun,tingkat dasar
ショップ,ショップ,shoppu,JLPT N2,Noun,toko
書籍,しょせき,shoseki,JLPT N2,Noun,buku; publikasi
書店,しょてん,shoten,JLPT N2,Noun,toko buku; toko buku
小便,しょうべん,shouben,JLPT N2,Noun,air kencing; kencing
消防署,しょうぼうしょ,shoubousho,JLPT N2,Noun,stasiun pemadam kebakaran
勝負,しょうぶ,shoubu,JLPT N2,Noun,kemenangan atau kekalahan; pertandingan
消毒,しょうどく,shoudoku,JLPT N2,Noun,disinfeksi; sterilisasi
小学生,しょうがくせい,shougakusei,JLPT N2,Noun,siswa sekolah dasar; siswa sekolah dasar
将棋,しょうぎ,shougi,JLPT N2,Noun,shogi; catur Jepang
商業,しょうぎょう,shougyou,JLPT N2,Noun,perdagangan; bisnis
勝敗,しょうはい,shouhai,JLPT N2,Noun,kemenangan atau kekalahan; hasil (pertempuran)
賞品,しょうひん,shouhin,JLPT N2,Noun,hadiah; piala
障子,しょうじ,shouji,JLPT N2,Noun,shoji (pintu geser kertas)
消化,しょうか,shouka,JLPT N2,Noun,pencernaan
賞金,しょうきん,shoukin,JLPT N2,Noun,hadiah; penghargaan berupa uang
消極的,しょうきょくてき,shoukyokuteki,JLPT N2,Na-adjective,negatif; setengah hati
正味,しょうみ,shoumi,JLPT N2,Noun,berat bersih
省略,しょうりゃく,shouryaku,JLPT N2,Noun,penghilangan; singkatan
商社,しょうしゃ,shousha,JLPT N2,Noun,perusahaan perdagangan; firma
小数,しょうすう,shousuu,JLPT N2,Noun,pecahan (bagian dari); pecahan desimal  しょうすう: ichi1. nama: ichi1.
商店,しょうてん,shouten,JLPT N2,Noun,toko; toko kecil
生ずる,しょうずる,shouzuru,JLPT N2,Expression,menghasilkan; memberi
出張,しゅっちょう,shucchou,JLPT N2,Noun,kunjungan resmi; perjalanan bisnis
主語,しゅご,shugo,JLPT N2,Noun,subjek
出勤,しゅっきん,shukkin,JLPT N2,Noun,kehadiran (di tempat kerja); berada di tempat kerja
祝日,しゅくじつ,shukujitsu,JLPT N2,Noun,hari libur nasional; hari libur umum
縮小,しゅくしょう,shukushou,JLPT N2,Noun,"pengurangan; pembatasan  しゅくしょう: ichi1, news1, nf06. kata sandi: ichi1, berita1, nf06."
集合,しゅうごう,shuugou,JLPT N2,Noun,perkumpulan; pertemuan
周辺,しゅうへん,shuuhen,JLPT N2,Noun,keliling; pinggiran kota
習字,しゅうじ,shuuji,JLPT N2,Noun,"tulisan tangan  しゅうじ: news2, nf28, spec2. kata sandi: news2, nf28, spec2."
集会,しゅうかい,shuukai,JLPT N2,Noun,pertemuan; perkumpulan
集金,しゅうきん,shuukin,JLPT N2,Noun,"pengumpulan uang  しゅうきん: news1, nf17. 集金: berita1, nf17."
終了,しゅうりょう,shuuryou,JLPT N2,Noun,akhir; tutup
終点,しゅうてん,shuuten,JLPT N2,Noun,terminal; pemberhentian terakhir (misalnya kereta api)
修繕,しゅうぜん,shuuzen,JLPT N2,Noun,perbaikan; menambal
主役,しゅやく,shuyaku,JLPT N2,Noun,peran utama; aktor utama
蕎麦,そば,soba,JLPT N2,Noun,gandum hitam (Fagopyrum esculentum)
率直,そっちょく,socchoku,JLPT N2,Na-adjective,keterusterangan; kejujuran
速力,そくりょく,sokuryoku,JLPT N2,Noun,kecepatan
測量,そくりょう,sokuryou,JLPT N2,Noun,pengukuran; survei
速達,そくたつ,sokutatsu,JLPT N2,Noun,ekspres; pengiriman khusus
測定,そくてい,sokutei,JLPT N2,Noun,pengukuran
その他,そのほか,sonohoka,JLPT N2,Adverbial noun,dan lain sebagainya; selain itu
その頃,そのころ,sonokoro,JLPT N2,Expression,pada waktu itu; di masa itu
その為,そのため,sonotame,JLPT N2,Expression,oleh karena itu; karena alasan itu
その上,そのうえ,sonoue,JLPT N2,Conjunction,selain itu; selanjutnya
損得,そんとく,sontoku,JLPT N2,Noun,kerugian dan keuntungan; kelebihan dan kekurangan
それなのに,それなのに,sorenanoni,JLPT N2,Conjunction,dan meskipun demikian; terlepas dari ini
算盤,そろばん,soroban,JLPT N2,Noun,sempoa
祖先,そせん,sosen,JLPT N2,Noun,leluhur
素質,そしつ,soshitsu,JLPT N2,Noun,karakter; kualitas
そそっかしい,そそっかしい,sosokkashii,JLPT N2,I-adjective,ceroboh; tidak berpikir panjang
そっと,そっと,sotto,JLPT N2,Adverb,dengan lembut; perlahan
送別,そうべつ,soubetsu,JLPT N2,Noun,perpisahan; pengantaran
相互,そうご,sougo,JLPT N2,Noun,saling; timbal balik
相違,そうい,soui,JLPT N2,Noun,perbedaan; ketidaksesuaian
そう言えば,そういえば,souieba,JLPT N2,Expression,yang mengingatkan saya ...; kalau dipikir-pikir ...
倉庫,そうこ,souko,JLPT N2,Noun,gudang; tempat penyimpanan
総理大臣,そうりだいじん,souridaijin,JLPT N2,Noun,perdana menteri (sebagai kepala pemerintahan kabinet); perdana menteri
創作,そうさく,sousaku,JLPT N2,Noun,produksi; kreasi sastra
葬式,そうしき,soushiki,JLPT N2,Noun,pemakaman
騒々しい,そうぞうしい,souzoushii,JLPT N2,I-adjective,berisik; riuh
酢,す,su,JLPT N2,Noun,cuka
スチュワーデス,スチュワーデス,suchuwa-desu,JLPT N2,Noun,pramugari; (wanita) awak kabin
末っ子,すえっこ,suekko,JLPT N2,Noun,anak bungsu
杉,すぎ,sugi,JLPT N2,Noun,Pohon cedar Jepang (Cryptomeria japonica)
水分,すいぶん,suibun,JLPT N2,Noun,air; cairan
垂直,すいちょく,suichoku,JLPT N2,Na-adjective,vertikal
水平,すいへい,suihei,JLPT N2,Na-adjective,level; horizontalitas
水平線,すいへいせん,suiheisen,JLPT N2,Noun,cakrawala (berkaitan dengan laut atau danau)
炊事,すいじ,suiji,JLPT N2,Noun,memasak; seni kuliner
水蒸気,すいじょうき,suijouki,JLPT N2,Noun,uap air; uap air
水産,すいさん,suisan,JLPT N2,Noun,"produk akuatik; perikanan  すいさん: ichi1, news1, nf08. nama: ichi1, berita1, nf08."
水素,すいそ,suiso,JLPT N2,Noun,hidrogen (H)
水滴,すいてき,suiteki,JLPT N2,Noun,setetes air
水筒,すいとう,suitou,JLPT N2,Noun,tempat minum; termos
水曜,すいよう,suiyou,JLPT N2,Adverbial noun,Rabu
スカーフ,スカーフ,suka-fu,JLPT N2,Noun,syal  スカーフ: gai1.
スケジュール,スケジュール,sukeju-ru,JLPT N2,Noun,jadwal
好き嫌い,すききらい,sukikirai,JLPT N2,Noun,kesukaan dan ketidaksukaan; pilih-pilih (makanan)
隙間,すきま,sukima,JLPT N2,Noun,celah; retakan
好き好き,すきずき,sukizuki,JLPT N2,Noun,masalah selera
すっきり,すっきり,sukkiri,JLPT N2,Adverb,merasa segar; merasa baik-baik saja
スクール,スクール,suku-ru,JLPT N2,Noun,sekolah
少なくとも,すくなくとも,sukunakutomo,JLPT N2,Adverb,setidaknya
スマート,スマート,suma-to,JLPT N2,Na-adjective,cerdas; bergaya
住まい,すまい,sumai,JLPT N2,Noun,tempat tinggal; rumah
済まない,すまない,sumanai,JLPT N2,I-adjective,tak termaafkan; tak dapat dibenarkan
墨,すみ,sumi,JLPT N2,Noun,sumi; tinta India
相撲,すもう,sumou,JLPT N2,Noun,gulat sumo
素直,すなお,sunao,JLPT N2,Na-adjective,patuh; lemah lembut
寸法,すんぽう,sunpou,JLPT N2,Noun,pengukuran; ukuran
スピーカー,スピーカー,supi-ka-,JLPT N2,Noun,pembicara
酸っぱい,すっぱい,suppai,JLPT N2,I-adjective,"kecut; asam  すっぱい: ichi1, berita2, nf46. 酸っぱい: ichi1, berita2, nf46."
スライド,スライド,suraido,JLPT N2,Noun,menggeser
スタート,スタート,suta-to,JLPT N2,Noun,mulai
ステージ,ステージ,sute-ji,JLPT N2,Noun,panggung
ストッキング,ストッキング,sutokkingu,JLPT N2,Noun,stoking
ストップ,ストップ,sutoppu,JLPT N2,Noun,berhenti
足袋,たび,tabi,JLPT N2,Noun,tabi; kaus kaki Jepang (dengan jari kaki terpisah)
忽ち,たちまち,tachimachi,JLPT N2,Adverb,seketika; dalam sekejap
但し,ただし,tadashi,JLPT N2,Conjunction,tetapi; namun
絶えず,たえず,taezu,JLPT N2,Adverb,terus-menerus; selalu
タイア,タイア,taia,JLPT N2,Noun,ban; ban
大木,たいぼく,taiboku,JLPT N2,Noun,pohon besar
体系,たいけい,taikei,JLPT N2,Noun,sistem; organisasi
太鼓,たいこ,taiko,JLPT N2,Noun,drum
対立,たいりつ,tairitsu,JLPT N2,Noun,konfrontasi; oposisi
対策,たいさく,taisaku,JLPT N2,Noun,tindakan; ketentuan
大して,たいして,taishite,JLPT N2,Adverb,(tidak) begitu banyak; (tidak) begitu
対照,たいしょう,taishou,JLPT N2,Noun,kontras; antitesis
体操,たいそう,taisou,JLPT N2,Noun,senam; latihan fisik
大層,たいそう,taisou,JLPT N2,Na-adjective,sangat; berlebihan
竹,たけ,take,JLPT N2,Noun,bambu
滝,たき,taki,JLPT N2,Noun,air terjun
ため息,ためいき,tameiki,JLPT N2,Noun,mendesah
田んぼ,たんぼ,tanbo,JLPT N2,Noun,sawah; pertanian
短期,たんき,tanki,JLPT N2,No-adjective,jangka pendek
炭鉱,たんこう,tankou,JLPT N2,Noun,tambang batu bara; lubang batu bara
頼もしい,たのもしい,tanomoshii,JLPT N2,I-adjective,dapat diandalkan; terpercaya
短編,たんぺん,tanpen,JLPT N2,Noun,"singkat (misalnya, cerita, film)"
短所,たんしょ,tansho,JLPT N2,Noun,cacat; kekurangan
箪笥,たんす,tansu,JLPT N2,Noun,lemari laci; meja tulis
淡水,たんすい,tansui,JLPT N2,Noun,air tawar (yaitu bukan air asin)
単数,たんすう,tansuu,JLPT N2,Noun,bilangan tunggal
田植え,たうえ,taue,JLPT N2,Noun,penanaman padi
テーマ,テーマ,te-ma,JLPT N2,Noun,tema; topik
手洗い,てあらい,tearai,JLPT N2,Noun,"mencuci tangan; air (atau baskom, dll.) untuk mencuci tangan"
手帳,てちょう,techou,JLPT N2,Noun,buku catatan; buku memo
定員,ていいん,teiin,JLPT N2,Noun,jumlah tetap personel tetap; kuota staf
低下,ていか,teika,JLPT N2,Noun,penurunan; kemerosotan
定価,ていか,teika,JLPT N2,Noun,harga daftar; harga reguler
定期券,ていきけん,teikiken,JLPT N2,Noun,kartu komuter; tiket musiman
定休日,ていきゅうび,teikyuubi,JLPT N2,Noun,hari libur reguler; hari libur tetap
手入れ,ていれ,teire,JLPT N2,Noun,perbaikan; pemeliharaan
停車,ていしゃ,teisha,JLPT N2,Noun,berhenti (misalnya kereta api)
停止,ていし,teishi,JLPT N2,Noun,penangguhan; gangguan
的確,てきかく,tekikaku,JLPT N2,Na-adjective,tepat; akurat
鉄橋,てっきょう,tekkyou,JLPT N2,Noun,jembatan kereta api; jembatan besi
手首,てくび,tekubi,JLPT N2,Noun,pergelangan tangan
手前,てまえ,temae,JLPT N2,Noun,sebelumnya; sisi ini
テニスコート,テニスコート,tenisuko-to,JLPT N2,Noun,lapangan tenis
展開,てんかい,tenkai,JLPT N2,Noun,perkembangan; evolusi
天皇,てんのう,tennou,JLPT N2,Noun,Kaisar Jepang
テンポ,テンポ,tenpo,JLPT N2,Noun,tempo
点数,てんすう,tensuu,JLPT N2,Noun,nilai; poin
点々,てんてん,tenten,JLPT N2,Adverb,di sana sini; sedikit demi sedikit
転々,てんてん,tenten,JLPT N2,Noun,berpindah dari satu tempat ke tempat lain; dioper-operkan berulang kali
手ぬぐい,てぬぐい,tenugui,JLPT N2,Noun,handuk (tangan)
鉄砲,てっぽう,teppou,JLPT N2,Noun,pistol
戸棚,とだな,todana,JLPT N2,Noun,lemari; loker
問い合わせ,といあわせ,toiawase,JLPT N2,Noun,penyelidikan; pertanyaan
疾っくに,とっくに,tokkuni,JLPT N2,Adverb,dahulu kala; sudah lama sekali
床の間,とこのま,tokonoma,JLPT N2,Noun,tokonoma (ceruk tempat memajang karya seni atau bunga)
所々,ところどころ,tokorodokoro,JLPT N2,Adverbial noun,di sana-sini; beberapa bagian (dari sesuatu)
特売,とくばい,tokubai,JLPT N2,Noun,penjualan khusus
特長,とくちょう,tokuchou,JLPT N2,Noun,kekuatan; keunggulan
特色,とくしょく,tokushoku,JLPT N2,Noun,karakteristik; ciri khas
特殊,とくしゅ,tokushu,JLPT N2,Na-adjective,istimewa; khusus
特定,とくてい,tokutei,JLPT N2,No-adjective,spesifik; khusus
トレーニング,トレーニング,tore-ningu,JLPT N2,Noun,pelatihan
都心,としん,toshin,JLPT N2,Noun,pusat kota (khususnya ibu kota); pusat perkotaan
当番,とうばん,touban,JLPT N2,Noun,sedang bertugas
等分,とうぶん,toubun,JLPT N2,Noun,pembagian menjadi bagian yang sama
灯台,とうだい,toudai,JLPT N2,Noun,mercu suar
峠,とうげ,touge,JLPT N2,Noun,punggung bukit; jalur (pegunungan)
統一,とういつ,touitsu,JLPT N2,Noun,persatuan; konsolidasi
登場,とうじょう,toujou,JLPT N2,Noun,masuk (di atas panggung); penampilan (di layar)
統計,とうけい,toukei,JLPT N2,Noun,statistik
盗難,とうなん,tounan,JLPT N2,Noun,pencurian; perampokan
投書,とうしょ,tousho,JLPT N2,Noun,surat kepada editor; surat dari pembaca
東洋,とうよう,touyou,JLPT N2,Noun,Mengorientasikan
灯油,とうゆ,touyu,JLPT N2,Noun,minyak lampu; minyak tanah
東西,とうざい,touzai,JLPT N2,Noun,timur dan barat
粒,つぶ,tsubu,JLPT N2,Noun,butiran; manik-manik
序,ついで,tsuide,JLPT N2,Noun,kesempatan; peristiwa
追加,ついか,tsuika,JLPT N2,Noun,tambahan; suplemen
突き当たり,つきあたり,tsukiatari,JLPT N2,Noun,"ujung (misalnya, ujung jalan, lorong, dll.)"
月日,つきひ,tsukihi,JLPT N2,Noun,waktu; tahun
爪,つめ,tsume,JLPT N2,Noun,"kuku (misalnya kuku jari tangan, kuku jari kaki); cakar"
綱,つな,tsuna,JLPT N2,Noun,tali
繋がり,つながり,tsunagari,JLPT N2,Noun,koneksi; tautan
通知,つうち,tsuuchi,JLPT N2,Noun,pemberitahuan; notifikasi
通帳,つうちょう,tsuuchou,JLPT N2,Noun,"buku tabungan; buku bank  つうちょう: ichi1, news1, nf15. 通帳: ichi1, berita1, nf15."
通貨,つうか,tsuuka,JLPT N2,Noun,mata uang
通勤,つうきん,tsuukin,JLPT N2,Noun,perjalanan pulang pergi ke tempat kerja
通路,つうろ,tsuuro,JLPT N2,Noun,lorong; jalan setapak
通訳,つうやく,tsuuyaku,JLPT N2,Noun,interpretasi (yaitu terjemahan lisan); penerjemah
通用,つうよう,tsuuyou,JLPT N2,Noun,penggunaan populer; peredaran
通ずる,つうずる,tsuuzuru,JLPT N2,Expression,terbuka (untuk lalu lintas); mengarah ke
艶,つや,tsuya,JLPT N2,Noun,kilap; glasir
強気,つよき,tsuyoki,JLPT N2,Na-adjective,percaya diri; yakin
ウーマン,ウーマン,u-man,JLPT N2,Noun,wanita
ウール,ウール,u-ru,JLPT N2,Noun,wol
打ち合わせ,うちあわせ,uchiawase,JLPT N2,Noun,pengaturan awal; pertemuan persiapan
饂飩,うどん,udon,JLPT N2,Noun,udon; mi gandum Jepang tebal
植木,うえき,ueki,JLPT N2,Noun,semak taman; pohon
受取り,うけとり,uketori,JLPT N2,Noun,kuitansi
うっかり,うっかり,ukkari,JLPT N2,Noun,dengan ceroboh; tanpa berpikir
運河,うんが,unga,JLPT N2,Noun,kanal; jalur air
うんと,うんと,unto,JLPT N2,Adverb,banyak sekali; sangat banyak
裏口,うらぐち,uraguchi,JLPT N2,Noun,pintu belakang; pintu masuk belakang
恨み,うらみ,urami,JLPT N2,Noun,kebencian; dendam
羨ましい,うらやましい,urayamashii,JLPT N2,I-adjective,"iri (perasaan, dll.); cemburu"
売れ行き,うれゆき,ureyuki,JLPT N2,Noun,penjualan; permintaan
売り上げ,うりあげ,uriage,JLPT N2,Noun,jumlah terjual; penjualan
売り切れ,うりきれ,urikire,JLPT N2,No-adjective,terjual habis
うろうろ,うろうろ,urouro,JLPT N2,Adverb,berkeliaran tanpa tujuan; mengembara tanpa arah
薄暗い,うすぐらい,usugurai,JLPT N2,I-adjective,redup; suram
ウェイトレス,ウェイトレス,uェitoresu,JLPT N2,Noun,pelayan
和英,わえい,waei,JLPT N2,Noun,"Jepang-Inggris  わえい: ichi1, news2, nf31. nama: ichi1, berita2, nf31."
和服,わふく,wafuku,JLPT N2,Noun,Pakaian Jepang
若々しい,わかわかしい,wakawakashii,JLPT N2,I-adjective,muda; awet muda
椀,わん,wan,JLPT N2,Noun,mangkuk (kayu)
碗,わん,wan,JLPT N2,Noun,"mangkuk (keramik, porselen)"
ワンピース,ワンピース,wanpi-su,JLPT N2,Noun,gaun
割合に,わりあいに,wariaini,JLPT N2,Adverb,relatif
割引,わりびき,waribiki,JLPT N2,Noun,diskon; pengurangan
割と,わりと,warito,JLPT N2,Adverb,relatif; secara komparatif
割り算,わりざん,warizan,JLPT N2,Noun,divisi
矢印,やじるし,yajirushi,JLPT N2,Noun,panah (tanda atau simbol); penanda atau indikator arah
喧しい,やかましい,yakamashii,JLPT N2,I-adjective,berisik; riuh
夜間,やかん,yakan,JLPT N2,Adverbial noun,di malam hari; waktu malam
薬缶,やかん,yakan,JLPT N2,Noun,ketel
火傷,やけど,yakedo,JLPT N2,Noun,luka bakar; melepuh
薬局,やっきょく,yakkyoku,JLPT N2,Noun,apotek; toko obat
夜行,やこう,yakou,JLPT N2,Noun,berjalan-jalan di malam hari; kereta malam
薬品,やくひん,yakuhin,JLPT N2,Noun,obat-obatan; bahan kimia
役人,やくにん,yakunin,JLPT N2,Noun,pejabat pemerintah
役者,やくしゃ,yakusha,JLPT N2,Noun,aktor; aktris
役所,やくしょ,yakusho,JLPT N2,Noun,kantor pemerintah; kantor publik
やむを得ない,やむをえない,yamuwoenai,JLPT N2,Expression,tidak bisa dihindari; tak terelakkan
家主,やぬし,yanushi,JLPT N2,Noun,pemilik rumah; nyonya rumah
矢っ張り,やっぱり,yappari,JLPT N2,Adverb,juga; demikian pula
余計,よけい,yokei,JLPT N2,Na-adjective,terlalu banyak; berlebihan
欲張り,よくばり,yokubari,JLPT N2,Noun,keserakahan; ketamakan
酔っ払い,よっぱらい,yopparai,JLPT N2,Noun,pemabuk
余所,よそ,yoso,JLPT N2,Noun,tempat lain; di suatu tempat lain
四つ角,よつかど,yotsukado,JLPT N2,Noun,empat penjuru; persimpangan jalan
養分,ようぶん,youbun,JLPT N2,Noun,makanan; nutrisi
幼稚,ようち,youchi,JLPT N2,Noun,masa bayi
幼稚園,ようちえん,youchien,JLPT N2,Noun,taman kanak-kanak
溶岩,ようがん,yougan,JLPT N2,Noun,Lava
用語,ようご,yougo,JLPT N2,Noun,istilah; terminologi
洋品店,ようひんてん,youhinten,JLPT N2,Noun,toko yang menjual pakaian dan aksesoris bergaya Barat
幼児,ようじ,youji,JLPT N2,Noun,bayi; balita
容器,ようき,youki,JLPT N2,Noun,kontainer; kapal
羊毛,ようもう,youmou,JLPT N2,Noun,wol
要領,ようりょう,youryou,JLPT N2,Noun,Inti; pokok bahasan
容積,ようせき,youseki,JLPT N2,Noun,kapasitas; volume
要旨,ようし,youshi,JLPT N2,Noun,poin; hal-hal penting
用途,ようと,youto,JLPT N2,Noun,penggunaan; kegunaan
漸く,ようやく,youyaku,JLPT N2,Adverb,akhirnya; pada akhirnya
油断,ゆだん,yudan,JLPT N2,Noun,kelalaian; kecerobohan
湯気,ゆげ,yuge,JLPT N2,Noun,uap; uap air
浴衣,ゆかた,yukata,JLPT N2,Noun,yukata (kimono katun ringan yang dikenakan di musim panas atau digunakan sebagai jubah mandi)
輸血,ゆけつ,yuketsu,JLPT N2,Noun,transfusi darah
湯のみ,ゆのみ,yunomi,JLPT N2,Noun,cangkir teh
緩い,ゆるい,yurui,JLPT N2,I-adjective,longgar
輸送,ゆそう,yusou,JLPT N2,Noun,transportasi; pengangkutan
夕立,ゆうだち,yuudachi,JLPT N2,Noun,Hujan (tiba-tiba) di malam hari
遊園地,ゆうえんち,yuuenchi,JLPT N2,Noun,taman hiburan
夕日,ゆうひ,yuuhi,JLPT N2,Noun,matahari senja; matahari terbenam
夕刊,ゆうかん,yuukan,JLPT N2,Noun,surat kabar sore
友好,ゆうこう,yuukou,JLPT N2,Noun,persahabatan
有料,ゆうりょう,yuuryou,JLPT N2,Noun,tol; biaya
郵送,ゆうそう,yuusou,JLPT N2,Noun,surat
悠々,ゆうゆう,yuuyuu,JLPT N2,Taru-adjective,tenang; damai
座布団,ざぶとん,zabuton,JLPT N2,Noun,zabuton (bantalan lantai datar yang digunakan saat duduk atau berlutut; biasanya berbentuk persegi panjang)
在学,ざいがく,zaigaku,JLPT N2,Noun,(terdaftar) di sekolah
材木,ざいもく,zaimoku,JLPT N2,Noun,kayu; balok kayu
座敷,ざしき,zashiki,JLPT N2,Noun,ruang tatami; ruang tikar tatami
雑音,ざつおん,zatsuon,JLPT N2,Noun,kebisingan (biasanya tidak menyenangkan)
是非とも,ぜひとも,zehitomo,JLPT N2,Adverb,"Tentu saja (dengan maksud untuk tidak menerima jawaban ""tidak"")"
税関,ぜいかん,zeikan,JLPT N2,Noun,bea cukai; kantor bea cukai
ゼミ,ゼミ,zemi,JLPT N2,Noun,seminar
前後,ぜんご,zengo,JLPT N2,Noun,depan dan belakang; depan dan belakang
全般,ぜんぱん,zenpan,JLPT N2,Noun,(yang) keseluruhan; universal
全身,ぜんしん,zenshin,JLPT N2,Noun,"Seluruh (tubuh); potret utuh (misalnya, potret)"
