Kanji,JLPT,Kunyomi,Onyomi,Indonesian,Contoh 1,Contoh 2
店,JLPT N4,"みせ, たな",テン,Toko; Belanja,店 (mise) - toko; warung,売店 (baiten) - toko; kios
病,JLPT N4,"や.む, -や.み, やまい","ビョウ, ヘイ",Sakit,看病 (kanbyou) - merawat (pasien),病院 (byouin) - RSUD
質,JLPT N4,"たち, ただ.す, もと, わりふ","シツ, シチ, チ",Substansi; Kualitas,質 (shitsu) - kualitas; nilai,地質 (chishitsu) - fitur geologis
待,JLPT N4,"ま.つ, -ま.ち",タイ,Tunggu; Bergantung pada,期待 (kitai) - harapan; antisipasi,招待 (shoutai) - undangan
試,JLPT N4,"こころ.みる, ため.す",シ,Uji; Coba,試し (tameshi) - percobaan; tes,試す (tamesu) - untuk mencoba; untuk menguji
族,JLPT N4,,ゾク,Suku; Keluarga,家族 (kazoku) - keluarga; anggota keluarga,
銀,JLPT N4,しろがね,ギン,Perak,銀 (gin) - perak (Ag),銀行 (ginkou) - bank
早,JLPT N4,"はや.い, はや, はや-, はや.まる, はや.める, さ-","ソウ, サッ",Awal; Cepat,早口 (hayakuchi) - berbicara cepat; bicara cepat,早速 (sassoku) - segera; langsung
映,JLPT N4,"うつ.る, うつ.す, は.える, -ば.え",エイ,Refleksi; Refleksi,"反映 (hanei) - refleksi (cahaya, gambar, situasi, sikap, dll.); mencerminkan",映る (utsuru) - untuk dipantulkan; untuk selaras dengan (harmonise)
親,JLPT N4,"おや, おや-, した.しい, した.しむ",シン,Orang tua; Keintiman,親 (oya) - orang tua; orang tua,親指 (oyayubi) - ibu jari
験,JLPT N4,"あかし, しるし, ため.す, ためし","ケン, ゲン",Verifikasi; Efek,受験 (juken) - mengikuti ujian (khususnya ujian masuk sekolah dan universitas),実験 (jikken) - percobaan
英,JLPT N4,はなぶさ,エイ,Inggris; Bahasa Inggris,英文 (eibun) - kalimat dalam bahasa Inggris; artikel dalam bahasa Inggris,"英和 (eiwa) - Inggris-Jepang (misalnya kamus)  えいわ: ichi1, news1, nf19. arti: ichi1, berita1, nf19."
医,JLPT N4,"い.やす, い.する, くすし",イ,Dokter; Obat-obatan,医療 (iryou) - perawatan medis; pengobatan medis,医師 (ishi) - dokter; tabib
仕,JLPT N4,つか.える,"シ, ジ",Hadir; Melakukan,仕方 (shikata) - cara; metode,仕事 (shigoto) - pekerjaan; jabatan
去,JLPT N4,"さ.る, -さ.る","キョ, コ",Pergi; Masa Lalu,過去 (kako) - masa lalu; hari-hari yang telah berlalu,去る (saru) - pergi; meninggalkan
味,JLPT N4,"あじ, あじ.わう",ミ,Rasa; Cita rasa,味 (aji) - rasa; cita rasa,地味 (jimi) - polos; sederhana
写,JLPT N4,"うつ.す, うつ.る, うつ-, うつ.し","シャ, ジャ",Salin; Difoto,複写 (fukusha) - salin; gandakan,写生 (shasei) - membuat sketsa; menggambar dari alam
字,JLPT N4,"あざ, あざな, -な",ジ,Karakter; Huruf,字 (ji) - karakter (yaitu kanji),活字 (katsuji) - jenis huruf cetak; huruf lepas
答,JLPT N4,"こた.える, こた.え",トウ,Solusi; Jawaban,回答 (kaitou) - balas; jawab,解答 (kaitou) - jawaban; solusi
夜,JLPT N4,"よ, よる",ヤ,Malam; Sore,夜 (yoru) - sore; malam,深夜 (shinya) - larut malam
音,JLPT N4,"おと, ね","オン, イン, -ノン",Suara; Kebisingan,音 (oto) - suara; kebisingan,録音 (rokuon) - rekaman (audio)
注,JLPT N4,"そそ.ぐ, さ.す, つ.ぐ",チュウ,Tuang; Irigasi,注 (chuu) - anotasi; catatan penjelasan,注す (sasu) - Menuang; menambahkan (cairan)
帰,JLPT N4,"かえ.る, かえ.す, おく.る, とつ.ぐ",キ,Kepulangan; Tiba di,帰す (kaesu) - mengirim (seseorang) kembali; mengirim (seseorang) pulang,帰宅 (kitaku) - pulang ke rumah
古,JLPT N4,"ふる.い, ふる-, -ふる.す",コ,Tua,稽古 (keiko) - latihan; berlatih,古典 (koten) - buku lama; karya klasik
歌,JLPT N4,"うた, うた.う",カ,Lagu; Bernyanyi,歌 (uta) - lagu,歌謡 (kayou) - lagu; balada
買,JLPT N4,か.う,バイ,Membeli,売買 (baibai) - perdagangan; jual beli,買う (kau) - membeli; untuk membeli
悪,JLPT N4,"わる.い, わる-, あ.し, にく.い, -にく.い, ああ, いずくに, いずくんぞ, にく.む","アク, オ",Buruk; Keburukan,悪口 (akkou) - pelecehan; penghinaan,悪魔 (akuma) - setan; iblis
図,JLPT N4,"え, はか.る","ズ, ト",Peta; Gambar,図 (zu) - gambar; lukisan,図表 (zuhyou) - bagan; diagram
週,JLPT N4,,シュウ,Pekan,週 (shuu) - pekan,週間 (shuukan) - minggu (periode)
室,JLPT N4,むろ,シツ,Kamar; Apartemen,温室 (onshitsu) - rumah kaca; rumah hangat,教室 (kyoushitsu) - kelas
歩,JLPT N4,"ある.く, あゆ.む","ホ, ブ, フ",Berjalan; Penghitung langkah,歩道 (hodou) - jalan setapak; jalur pejalan kaki,進歩 (shinpo) - kemajuan; perkembangan
風,JLPT N4,"かぜ, かざ-, -かぜ","フウ, フ",Angin; Udara,風 (kaze) - angin; semilir angin,"風船 (fuusen) - balon (terutama balon kecil, jenis mainan)"
紙,JLPT N4,かみ,シ,Kertas,紙 (kami) - kertas,表紙 (hyoushi) - sampul depan; penjilidan
黒,JLPT N4,"くろ, くろ.ずむ, くろ.い",コク,Hitam,黒 (kuro) - hitam,黒板 (kokuban) - papan tulis
花,JLPT N4,はな,"カ, ケ",Bunga,花 (hana) - bunga; kuncup,花火 (hanabi) - kembang api
春,JLPT N4,はる,シュン,Musim semi; Musim semi,春 (haru) - musim semi; waktu musim semi,
赤,JLPT N4,"あか, あか-, あか.い, あか.らむ, あか.らめる","セキ, シャク",Merah,赤 (aka) - merah; merah tua,赤道 (sekidou) - khatulistiwa
青,JLPT N4,"あお, あお-, あお.い","セイ, ショウ",Biru; Hijau,青 (ao) - biru,青年 (seinen) - pemuda; pria muda
館,JLPT N4,"やかた, たて",カン,Bangunan; Rumah besar,会館 (kaikan) - aula pertemuan; aula perkumpulan,"旅館 (ryokan) - Ryokan; penginapan bergaya Jepang, biasanya dikelola secara profesional."
屋,JLPT N4,や,オク,Atap; Rumah,家屋 (kaoku) - rumah; bangunan,店屋 (miseya) - toko; berbelanja
色,JLPT N4,いろ,"ショク, シキ",Warna,色 (iro) - warna; warna,灰色 (haiiro) - abu-abu; kelabu
走,JLPT N4,はし.る,ソウ,Berlari,走る (hashiru) - untuk berlari,ご馳走 (gochisou) - pesta; mentraktir (seseorang)
秋,JLPT N4,"あき, とき",シュウ,Musim gugur,秋 (aki) - musim gugur; musim gugur,
夏,JLPT N4,なつ,"カ, ガ, ゲ",Musim panas,夏 (natsu) - musim panas,夏休み (natsuyasumi) - liburan musim panas; hari libur musim panas
習,JLPT N4,"なら.う, なら.い","シュウ, ジュ",Mempelajari,自習 (jishuu) - belajar mandiri; mengajar diri sendiri,"習字 (shuuji) - tulisan tangan  しゅうじ: news2, nf28, spec2. kata sandi: news2, nf28, spec2."
駅,JLPT N4,,エキ,Stasiun,駅 (eki) - stasiun,
洋,JLPT N4,,ヨウ,Samudra; gaya Barat,海洋 (kaiyou) - Samudra,東洋 (touyou) - Mengorientasikan
旅,JLPT N4,たび,リョ,Perjalanan; Wisata,旅 (tabi) - perjalanan; wisata,"旅館 (ryokan) - Ryokan; penginapan bergaya Jepang, biasanya dikelola secara profesional."
服,JLPT N4,,フク,Pakaian; Menerima,服 (fuku) - pakaian (khususnya pakaian Barat),和服 (wafuku) - Pakaian Jepang
夕,JLPT N4,ゆう,セキ,Malam,夕立 (yuudachi) - Hujan (tiba-tiba) di malam hari,夕日 (yuuhi) - matahari senja; matahari terbenam
借,JLPT N4,か.りる,シャク,Meminjam; Menyewa,借金 (shakkin) - utang; pinjaman,借りる (kariru) - meminjam; memiliki pinjaman
曜,JLPT N4,,ヨウ,Hari kerja,水曜 (suiyou) - Rabu,土曜 (doyou) - Sabtu
飲,JLPT N4,"の.む, -の.み","イン, オン",Minum; Merokok,飲む (nomu) - minum; meneguk,飲み物 (nomimono) - minuman; sajian
肉,JLPT N4,しし,ニク,Daging,肉 (niku) - daging,皮肉 (hiniku) - sinisme; sarkasme
貸,JLPT N4,"か.す, か.し-, かし-",タイ,Meminjamkan,貸家 (kashiya) - rumah sewa,貸す (kasu) - meminjamkan; meminjamkan
堂,JLPT N4,,ドウ,Ruang publik; Aula,"講堂 (koudou) - auditorium; ruang kuliah  こうどう: ichi1, news1, nf10. arti: ichi1, berita1, nf10.",食堂 (shokudou) - ruang makan; aula makan
鳥,JLPT N4,とり,チョウ,Burung; Ayam,鳥 (tori) - burung,小鳥 (kotori) - burung kecil; burung penyanyi
飯,JLPT N4,めし,ハン,Makanan; Nasi putih,飯 (meshi) - nasi,ご飯 (gohan) - nasi
勉,JLPT N4,つと.める,ベン,Pengerahan tenaga,勉強 (benkyou) - belajar,勉強する (benkyousuru) - belajar
冬,JLPT N4,ふゆ,トウ,Musim dingin,冬 (fuyu) - musim dingin,
昼,JLPT N4,ひる,チュウ,Siang hari; Tengah hari,昼 (hiru) - tengah hari; tengah hari,昼寝 (hirune) - tidur siang (sore); siesta
茶,JLPT N4,,"チャ, サ",Teh,茶 (cha) - teh,茶色 (chairo) - cokelat muda; kekuningan
弟,JLPT N4,おとうと,"テイ, ダイ, デ",Adik laki-laki; Pelayanan setia kepada para penatua,弟 (otouto) - adik laki-laki; adik laki-laki,兄弟 (kyoudai) - saudara kandung; saudara laki-laki dan perempuan
牛,JLPT N4,うし,ギュウ,Sapi,牛 (ushi) - sapi (Bos taurus); sapi betina,牛肉 (gyuuniku) - daging sapi
魚,JLPT N4,"うお, さかな, -ざかな",ギョ,Ikan,魚 (sakana) - ikan,金魚 (kingyo) - ikan mas
兄,JLPT N4,あに,"ケイ, キョウ",Kakak laki-laki; Kakak laki-laki,兄 (ani) - kakak laki-laki; kakak laki-laki,兄弟 (kyoudai) - saudara kandung; saudara laki-laki dan perempuan
犬,JLPT N4,"いぬ, いぬ-",ケン,Anjing,犬 (inu) - anjing (Canis (lupus) familiaris),
妹,JLPT N4,いもうと,マイ,Adik,妹 (imouto) - adik,姉妹 (shimai) - saudara perempuan
姉,JLPT N4,"あね, はは",シ,Kakak perempuan,姉 (ane) - kakak perempuan; saudari yang lebih tua,姉妹 (shimai) - saudara perempuan
漢,JLPT N4,,カン,Sino-; Cina,漢和 (kanwa) - Cina dan Jepang,漢字 (kanji) - Huruf Tionghoa; kanji
政,JLPT N3,"まつりごと, まん","セイ, ショウ",Politik; Pemerintahan,政党 (seitou) - partai politik,政府 (seifu) - pemerintah; administrasi
議,JLPT N3,,ギ,Musyawarah; Konsultasi,"議長 (gichou) - ketua; juru bicara (misalnya, majelis)","議員 (giin) - anggota Diet, kongres atau parlemen"
民,JLPT N3,たみ,ミン,Rakyat; Bangsa,民謡 (minyou) - lagu rakyat; lagu populer,住民 (juumin) - warga negara; penduduk
連,JLPT N3,"つら.なる, つら.ねる, つ.れる, -づ.れ",レン,Bawa serta; Pimpin,連合 (rengou) - persatuan; aliansi,関連 (kanren) - hubungan; koneksi
対,JLPT N3,"あいて, こた.える, そろ.い, つれあ.い, なら.ぶ, むか.う","タイ, ツイ",Berlawanan; Berlawanan,対 (tsui) - pasangan; pasangan,応対 (outai) - menerima; menangani
部,JLPT N3,-べ,ブ,Bagian; Biro,部品 (buhin) - suku cadang; aksesori,部首 (bushu) - radikal (dari karakter kanji)
合,JLPT N3,"あ.う, -あ.う, あ.い, あい-, -あ.い, -あい, あ.わす, あ.わせる, -あ.わせる","ゴウ, ガッ, カッ",Cocok; Sesuai,割合 (wariai) - tingkat; rasio,合図 (aizu) - tanda; sinyal
市,JLPT N3,いち,シ,Pasar; Kota,市 (shi) - kota,市場 (ichiba) - pasar (kota)
内,JLPT N3,うち,"ナイ, ダイ",Di dalam; Di dalam,内 (uchi) - di dalam; di dalam,"内科 (naika) - pengobatan internal, yaitu pengobatan dengan prosedur medis dan bukan prosedur bedah."
相,JLPT N3,あい-,"ソウ, ショウ",Antar-; Saling-balik,相互 (sougo) - saling; timbal balik,相違 (soui) - perbedaan; ketidaksesuaian
定,JLPT N3,"さだ.める, さだ.まる, さだ.か","テイ, ジョウ",Menentukan; Memperbaiki,断定 (dantei) - kesimpulan; keputusan,定期 (teiki) - periode tetap; jangka waktu tetap
回,JLPT N3,"まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える","カイ, エ",-kali; Putaran,回 (kai) - penghitung kejadian,回数 (kaisuu) - jumlah kali; frekuensi
選,JLPT N3,えら.ぶ,セン,Pilih; Seleksi,選手 (senshu) - pemain (dalam permainan); anggota tim,選択 (sentaku) - seleksi; pilihan
米,JLPT N3,"こめ, よね","ベイ, マイ, メエトル",Beras; Amerika Serikat,米 (me-toru) - meter; meter,南米 (nanbei) - Amerika Selatan
実,JLPT N3,"み, みの.る, まこと, みの, みち.る","ジツ, シツ",Realita; Kebenaran,実 (mi) - buah; kacang,実は (jitsuha) - sebenarnya; ngomong-ngomong
関,JLPT N3,"せき, -ぜき, かか.わる, からくり, かんぬき",カン,Koneksi; Penghalang,"関西 (kansai) - Kansai; wilayah yang terdiri dari Osaka, Kobe, Kyoto, dan prefektur-prefektur sekitarnya.",関東 (kantou) - Kanto; wilayah yang terdiri dari Tokyo dan prefektur-prefektur sekitarnya.
決,JLPT N3,"き.める, -ぎ.め, き.まる, さ.く",ケツ,Memutuskan; Menetapkan,"可決 (kaketsu) - persetujuan; pengesahan (misalnya mosi, rancangan undang-undang)",解決 (kaiketsu) - penyelesaian; solusi
全,JLPT N3,"まった.く, すべ.て",ゼン,Utuh; Seluruh,全般 (zenpan) - (yang) keseluruhan; universal,"全身 (zenshin) - Seluruh (tubuh); potret utuh (misalnya, potret)"
表,JLPT N3,"おもて, -おもて, あらわ.す, あらわ.れる, あら.わす",ヒョウ,Permukaan; Tabel,表 (omote) - permukaan,表紙 (hyoushi) - sampul depan; penjilidan
戦,JLPT N3,"いくさ, たたか.う, おのの.く, そよ.ぐ, わなな.く",セン,Perang; Pertempuran,大戦 (taisen) - perang besar; pertempuran besar,戦い (tatakai) - pertempuran; pertarungan
経,JLPT N3,"へ.る, た.つ, たていと, はか.る, のり","ケイ, キョウ, キン",Sutra; Bujur,経度 (keido) - garis bujur,経営 (keiei) - manajemen; administrasi
最,JLPT N3,"もっと.も, つま","サイ, シュ",Paling utama; Paling,最も (mottomo) - sebagian besar; sangat,最中 (saichuu) - di tengah; puncak
現,JLPT N3,"あらわ.れる, あらわ.す, うつつ, うつ.つ",ゲン,Saat ini; Yang ada,現に (genni) - sebenarnya; sungguh,現れ (araware) - perwujudan; manifestasi
調,JLPT N3,"しら.べる, しら.べ, ととの.う, ととの.える",チョウ,Melodi; Nada,調整 (chousei) - penyesuaian; regulasi,調節 (chousetsu) - regulasi; penyesuaian
化,JLPT N3,"ば.ける, ば.かす, ふ.ける, け.する","カ, ケ",Perubahan; Mengambil bentuk,強化 (kyouka) - penguatan; pengintensifan,消化 (shouka) - pencernaan
当,JLPT N3,"あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし",トウ,Pukul; Tepat,適当 (tekitou) - sesuai; pantas,当時 (touji) - pada waktu itu; pada masa itu
約,JLPT N3,"つづ.まる, つづ.める, つづま.やか",ヤク,Janji; Kira-kira,約 (yaku) - kira-kira; sekitar,契約 (keiyaku) - kontrak; perjanjian
首,JLPT N3,くび,シュ,Leher,首 (kubi) - leher,部首 (bushu) - radikal (dari karakter kanji)
法,JLPT N3,のり,"ホウ, ハッ, ホッ, フラン",Metode; Hukum,法 (hou) - hukum; tindakan,法則 (housoku) - hukum; aturan
性,JLPT N3,さが,"セイ, ショウ",Seks; Gender,性 (sei) - sifat (seseorang),"中性 (chuusei) - netralitas (termasuk kimia, listrik, dll.); ketidakpedulian"
要,JLPT N3,"い.る, かなめ",ヨウ,Kebutuhan; Poin utama,要領 (youryou) - Inti; pokok bahasan,要旨 (youshi) - poin; hal-hal penting
制,JLPT N3,,セイ,Sistem; Hukum,"制作 (seisaku) - karya (film, buku)",専制 (sensei) - despotisme; otokrasi
治,JLPT N3,"おさ.める, おさ.まる, なお.る, なお.す","ジ, チ",Memerintah; Berdamai,自治 (jichi) - pemerintahan sendiri; otonomi,治る (naoru) - untuk disembuhkan; untuk menjadi sehat
務,JLPT N3,つと.める,ム,Tugas; Kewajiban,公務 (koumu) - urusan resmi; urusan publik,義務 (gimu) - tugas; kewajiban
成,JLPT N3,"な.る, な.す, -な.す","セイ, ジョウ",Berubah menjadi; Menjadi,賛成 (sansei) - persetujuan; kesepakatan,成績 (seiseki) - hasil; catatan
期,JLPT N3,,"キ, ゴ",Periode; Waktu,期限 (kigen) - istilah; periode,短期 (tanki) - jangka pendek
取,JLPT N3,"と.る, と.り, と.り-, とり, -ど.り",シュ,Ambil; Bawa,取る (toru) - mengambil; memungut,受取り (uketori) - kuitansi
都,JLPT N3,みやこ,"ト, ツ",Metropolis; Ibu Kota,都 (to) - metropolitan; kotamadya,都心 (toshin) - pusat kota (khususnya ibu kota); pusat perkotaan
和,JLPT N3,"やわ.らぐ, やわ.らげる, なご.む, なご.やか, あ.える","ワ, オ, カ",Harmoni; Gaya Jepang,"英和 (eiwa) - Inggris-Jepang (misalnya kamus)  えいわ: ichi1, news1, nf19. arti: ichi1, berita1, nf19.",漢和 (kanwa) - Cina dan Jepang
機,JLPT N3,はた,キ,Mekanisme; Peluang,機嫌 (kigen) - humor; kelucuan,機械 (kikai) - mesin; mekanisme
平,JLPT N3,"たい.ら, -だいら, ひら, ひら-","ヘイ, ビョウ, ヒョウ",Rata; Datar,平日 (heijitsu) - hari kerja; hari biasa (yaitu bukan hari libur),平気 (heiki) - ketenangan; kedamaian
加,JLPT N3,"くわ.える, くわ.わる",カ,Tambah; Penambahan,加熱 (kanetsu) - pemanasan; penerapan panas,加速 (kasoku) - percepatan; mempercepat
受,JLPT N3,"う.ける, -う.け, う.かる",ジュ,Menerima; Menjalani,受験 (juken) - mengikuti ujian (khususnya ujian masuk sekolah dan universitas),受付 (uketsuke) - resepsionis (meja resepsionis); meja informasi
続,JLPT N3,"つづ.く, つづ.ける, つぐ.ない","ゾク, ショク, コウ, キョウ",Lanjutan; Seri,継続 (keizoku) - kelanjutan,接続 (setsuzoku) - koneksi; keterikatan
進,JLPT N3,"すす.む, すす.める",シン,Maju; Lanjutkan,"進学 (shingaku) - memasuki sekolah tingkat yang lebih tinggi, terutama melanjutkan ke universitas.",進歩 (shinpo) - kemajuan; perkembangan
数,JLPT N3,"かず, かぞ.える, しばしば, せ.める, わずらわ.しい","スウ, ス, サク, ソク, シュ",Angka; Kekuatan,数 (kazu) - angka; jumlah,分数 (bunsuu) - pecahan
記,JLPT N3,しる.す,キ,Juru tulis; Catatan,伝記 (denki) - biografi; kisah hidup,筆記 (hikki) - (mencatat); menyalin
初,JLPT N3,"はじ.め, はじ.めて, はつ, はつ-, うい-, -そ.める, -ぞ.め",ショ,Pertama kali; Awal,初旬 (shojun) - 10 hari pertama bulan ini,初級 (shokyuu) - tingkat dasar
指,JLPT N3,"ゆび, さ.す, -さ.し",シ,Jari; Menunjuk ke,指 (yubi) - jari tangan; jari kaki,小指 (koyubi) - jari kelingking
権,JLPT N3,"おもり, かり, はか.る","ケン, ゴン",Kewenangan; Kekuatan,権利 (kenri) - hak; hak istimewa,
支,JLPT N3,"ささ.える, つか.える, か.う",シ,Cabang; Dukungan,支配 (shihai) - dominasi; kekuasaan,支給 (shikyuu) - penyediaan; pasokan
産,JLPT N3,"う.む, う.まれる, うぶ-, む.す",サン,Produk; Beruang,原産 (gensan) - tempat asal; habitat,産地 (sanchi) - daerah penghasil
点,JLPT N3,"つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち",テン,Titik; Tanda,点 (ten) - titik; tanda,地点 (chiten) - lokasi; titik pada peta
報,JLPT N3,むく.いる,ホウ,Laporan; Berita,報告 (houkoku) - laporan; informasi,情報 (jouhou) - informasi; berita
済,JLPT N3,"す.む, -ず.み, -ずみ, す.まない, す.ます, -す.ます, すく.う, な.す, わたし, わた.る","サイ, セイ",Selesai; Berakhir,経済 (keizai) - ekonomi; bisnis,済む (sumu) - menyelesaikan; mengakhiri
活,JLPT N3,"い.きる, い.かす, い.ける",カツ,Penuh semangat; Resusitasi,活字 (katsuji) - jenis huruf cetak; huruf lepas,活力 (katsuryoku) - vitalitas; energi
原,JLPT N3,はら,ゲン,Padang rumput; Asli,原 (hara) - ladang; dataran,原稿 (genkou) - manuskrip; salinan
共,JLPT N3,"とも, とも.に, -ども",キョウ,Bersama; Keduanya,公共 (koukyou) - publik; komunitas,共同 (kyoudou) - melakukan bersama (sebagai setara); berbagi
得,JLPT N3,"え.る, う.る",トク,Memperoleh; Mendapatkan,損得 (sontoku) - kerugian dan keuntungan; kelebihan dan kekurangan,得意 (tokui) - kemenangan; kemakmuran
解,JLPT N3,"と.く, と.かす, と.ける, ほど.く, ほど.ける, わか.る, さと.る","カイ, ゲ",Uraikan; Catatan,分解 (bunkai) - pembongkaran; penguraian,理解 (rikai) - pemahaman; pengertian
交,JLPT N3,"まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも",コウ,Berbaur; Bersosialisasi,交流 (kouryuu) - Pertukaran (budaya); pertukaran antar-negara,交番 (kouban) - pos polisi; kantor polisi lingkungan kecil
資,JLPT N3,,シ,Aset; Sumber Daya,資源 (shigen) - sumber daya,資本 (shihon) - dana; modal
予,JLPT N3,あらかじ.め,"ヨ, シャ",Sebelumnya; Masa lalu,予防 (yobou) - pencegahan; kewaspadaan,予報 (yohou) - ramalan; prediksi
向,JLPT N3,"む.く, む.い, -む.き, む.ける, -む.け, む.かう, む.かい, む.こう, む.こう-, むこ, むか.い",コウ,Di sana; Menghadap,方向 (houkou) - arah; orientasi,傾向 (keikou) - kecenderungan; tren
際,JLPT N3,"きわ, -ぎわ",サイ,Kesempatan; Sisi,際 (sai) - pada kesempatan; keadaan,実際 (jissai) - kepraktisan; praktis
勝,JLPT N3,"か.つ, -が.ち, まさ.る, すぐ.れる, かつ",ショウ,Kemenangan; Menang,勝負 (shoubu) - kemenangan atau kekalahan; pertandingan,勝敗 (shouhai) - kemenangan atau kekalahan; hasil (pertempuran)
面,JLPT N3,"おも, おもて, つら","メン, ベン",Masker; Wajah,面 (men) - menghadapi,方面 (houmen) - arah; distrik
告,JLPT N3,つ.げる,コク,Wahyu; Beritahu,報告 (houkoku) - laporan; informasi,警告 (keikoku) - peringatan; saran
反,JLPT N3,"そ.る, そ.らす, かえ.す, かえ.る, -かえ.る","ハン, ホン, タン, ホ",Anti-,"反映 (hanei) - refleksi (cahaya, gambar, situasi, sikap, dll.); mencerminkan",反省 (hansei) - refleksi; pertimbangan ulang
判,JLPT N3,わか.る,"ハン, バン",Putusan; Tanda Tangan,判事 (hanji) - hakim; peradilan,判子 (hanko) - stempel (digunakan untuk tanda tangan)
認,JLPT N3,"みと.める, したた.める",ニン,Mengakui; Menyaksikan,確認 (kakunin) - konfirmasi; verifikasi,承認 (shounin) - pengakuan; penerimaan
参,JLPT N3,"まい.る, まい-, まじわる, みつ","サン, シン",Bingung; Tiga,持参 (jisan) - membawa; mengambil,参加 (sanka) - partisipasi
利,JLPT N3,き.く,リ,Keuntungan; Keunggulan,不利 (furi) - kerugian; cacat,権利 (kenri) - hak; hak istimewa
組,JLPT N3,"く.む, くみ, -ぐみ",ソ,Asosiasi; Kepang,組 (kumi) - himpunan (barang),組合 (kumiai) - asosiasi; serikat
信,JLPT N3,,シン,Iman; Kebenaran,迷信 (meishin) - takhayul; kepercayaan takhayul,信号 (shingou) - sinyal; pemberian sinyal
在,JLPT N3,あ.る,ザイ,Ada; Pinggiran kota,在学 (zaigaku) - (terdaftar) di sekolah,現在 (genzai) - sekarang; saat ini
件,JLPT N3,くだん,ケン,Urusan; Kasus,事件 (jiken) - peristiwa; urusan,条件 (jouken) - kondisi; syarat dan ketentuan
側,JLPT N3,"かわ, がわ, そば",ソク,Sisi; Bersandar,側 (soba) - dekat; berdekatan,両側 (ryougawa) - kedua belah pihak
任,JLPT N3,"まか.せる, まか.す",ニン,Tanggung jawab; Kewajiban,責任 (sekinin) - tugas; tanggung jawab (termasuk pengawasan staf),"任せる (makaseru) - untuk mempercayakan (misalnya, suatu tugas) kepada orang lain; untuk menyerahkan kepada"
引,JLPT N3,"ひ.く, ひ.き, ひ.き-, -び.き, ひ.ける",イン,Tarik; Suruh,強引 (gouin) - otoriter; memaksa,引用 (inyou) - kutipan; rujukan
求,JLPT N3,もと.める,"キュウ, グ",Meminta; Menginginkan,請求 (seikyuu) - klaim; tuntutan,要求 (youkyuu) - permintaan; permohonan tegas
所,JLPT N3,"ところ, -ところ, どころ, とこ",ショ,Tempat,所 (tokoro) - tempat; lokasi,近所 (kinjo) - lingkungan; lingkungan
次,JLPT N3,"つ.ぐ, つぎ","ジ, シ",Berikutnya; Urutan,次 (tsugi) - berikutnya; selanjutnya,目次 (mokuji) - Daftar isi
昨,JLPT N3,,サク,Kemarin; Sebelumnya,昨日 (kinou) - Kemarin,一昨年 (issakunen) - tahun sebelum tahun lalu
論,JLPT N3,,ロン,Argumen; Wacana,概論 (gairon) - Pendahuluan; garis besar,議論 (giron) - argumen; diskusi
官,JLPT N3,,カン,Birokrat; Pemerintah,官庁 (kanchou) - kantor pemerintah; badan pemerintah,警官 (keikan) - petugas polisi; polisi
増,JLPT N3,"ま.す, ま.し, ふ.える, ふ.やす",ゾウ,Meningkatkan; Menambahkan,激増 (gekizou) - peningkatan tiba-tiba,増大 (zoudai) - pembesaran; peningkatan
係,JLPT N3,"かか.る, かかり, -がかり, かか.わる",ケイ,Penanggung jawab; Hubungan,係 (kakari) - tugas; kewajiban,関係 (kankei) - hubungan; relasi
感,JLPT N3,,カン,Emosi; Perasaan,実感 (jikkan) - perasaan nyata; perasaan sebenarnya,感謝 (kansha) - terima kasih; rasa syukur
情,JLPT N3,なさ.け,"ジョウ, セイ",Perasaan; Emosi,純情 (junjou) - hati yang murni; kepolosan,苦情 (kujou) - keluhan; masalah
投,JLPT N3,"な.げる, -な.げ",トウ,Buang; Buang,投書 (tousho) - surat kepada editor; surat dari pembaca,投票 (touhyou) - pemungutan suara; jajak pendapat
示,JLPT N3,しめ.す,"ジ, シ",Tunjukkan; Indikasikan,掲示 (keiji) - pemberitahuan; buletin,示す (shimesu) - untuk (mengeluarkan dan) menunjukkan; untuk mendemonstrasikan
変,JLPT N3,"か.わる, か.わり, か.える",ヘン,Tidak lazim; Perubahan,変 (hen) - aneh; ganjil,変化 (henka) - perubahan; variasi
打,JLPT N3,"う.つ, う.ち-, ぶ.つ","ダ, ダアス",Pukul; Hantam,打つ (utsu) - memukul; menyerang,打つかる (butsukaru) - menabrak; bertabrakan dengan
直,JLPT N3,"ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ","チョク, ジキ, ジカ",Segera; Kejujuran,直 (nao) - lurus,直角 (chokkaku) - sudut siku-siku; tegak lurus
両,JLPT N3,"てる, ふたつ",リョウ,Keduanya; Koin Jepang kuno,両側 (ryougawa) - kedua belah pihak,両替 (ryougae) - kembalian; penukaran uang
式,JLPT N3,,シキ,Gaya; Upacara,式 (shiki) - persamaan; rumus,儀式 (gishiki) - upacara; tata cara
確,JLPT N3,"たし.か, たし.かめる","カク, コウ",Jaminan; Tegas,確率 (kakuritsu) - probabilitas; kemungkinan,的確 (tekikaku) - tepat; akurat
